date,ethnicity,sex,age,sensitive_0,feature_0,predicted_outcome
1994-01-01,2,2,6,0,1,0.1768240759536893
1994-01-01,2,2,5,1,1,0.825542411081032
1994-01-01,2,2,4,0,2,0.9627256738469924
1994-01-01,2,2,6,0,2,0.8611282757793017
1994-01-01,2,2,5,0,2,0.2772021480069452
1994-01-01,2,2,3,1,2,0.775387172857903
1994-01-01,2,2,3,0,2,0.6690150552222985
1994-01-01,2,2,5,0,1,0.5604117659244806
1994-01-01,2,2,5,0,1,0.2983751392715084
1994-01-01,2,2,4,1,1,0.9122027900294496
1994-01-01,2,2,2,0,2,0.1859909385043454
1994-01-01,2,2,5,0,2,0.7447803120325059
1994-01-01,2,2,3,0,2,0.2070816525252413
1994-01-01,2,2,5,0,2,0.6067478108197563
1994-01-01,2,2,5,0,1,0.8810008828830821
1994-01-01,2,2,7,1,2,0.2205806888485308
1994-01-01,2,2,2,1,2,0.7652985048356475
1994-01-01,2,2,5,1,1,0.1917636495539777
1994-01-01,2,2,4,1,2,0.8295336748920761
1994-01-01,2,2,3,0,1,0.6945969105064336
1994-01-01,2,2,2,0,1,0.989675830192042
1994-01-01,2,2,3,1,1,0.8914168676907444
1994-01-01,2,2,3,1,1,0.86657489891631
1994-01-01,2,2,5,1,1,0.6653277936487387
1994-01-01,2,2,6,1,1,0.1743702045529219
1994-01-01,2,2,3,1,1,0.3768716473231174
1994-01-01,2,2,4,1,2,0.5319697265412036
1994-01-01,2,2,3,1,2,0.1356485565045265
1994-01-01,2,2,2,0,1,0.6293254396221359
1994-01-01,2,2,3,1,2,0.1139133378026665
1994-01-01,2,2,4,1,2,0.1363414718538853
1994-01-01,2,2,4,1,1,0.2080091252378704
1994-01-01,2,2,3,1,2,0.9727929357862402
1994-01-01,2,2,3,1,2,0.6569154571874802
1994-01-01,2,2,4,1,2,0.3673135748349604
1994-01-01,2,2,4,0,2,0.1505023522528514
1994-01-01,2,2,5,1,2,0.6587690123891812
1994-01-01,2,2,3,0,1,0.3738402364839377
1994-01-01,2,2,4,1,1,0.5618369567385751
1994-01-01,2,2,4,1,1,0.665267562297832
1994-01-01,2,2,3,0,1,0.5265922862672121
1994-01-01,2,2,5,1,1,0.572501275830579
1994-01-01,2,2,5,1,1,0.2711334224153466
1994-01-01,2,2,6,1,3,0.5157604392792079
1994-01-01,2,2,4,0,2,0.2814073376379112
1994-01-01,2,2,4,1,1,0.8162910226589863
1994-01-01,2,2,4,1,1,0.7913994645072095
1994-01-01,2,2,4,1,1,0.5321455189652678
1994-01-01,2,2,3,1,2,0.3149884117747464
1994-01-01,2,2,3,0,1,0.0582605051006167
1994-01-01,2,2,2,0,2,0.9595533019627668
1994-01-01,2,2,5,0,1,0.9680346684124396
1994-01-01,2,2,3,1,1,0.8836187721634748
1994-01-01,2,2,3,0,2,0.6331462157535552
1994-01-01,2,2,3,0,1,0.7091884626470404
1994-01-01,2,2,3,1,2,0.7764770926314661
1994-01-01,2,2,2,0,1,0.5979893128804399
1994-01-01,2,2,4,1,2,0.9725239294481884
1994-01-01,2,2,5,1,2,0.8633538015970169
1994-01-01,2,2,3,1,2,0.4887542061079661
1994-01-01,2,2,3,0,2,0.3021217529804369
1994-01-01,2,2,3,1,1,0.3508114062799653
1994-01-01,2,2,4,0,1,0.9101666560257832
1994-01-01,2,2,2,1,1,0.271141489706567
1994-01-01,2,2,2,1,1,0.6369152124870071
1994-01-01,2,2,3,1,2,0.8282572223612308
1994-01-01,2,2,4,0,2,0.1451341805778328
1994-01-01,2,2,3,0,2,0.8036583759537981
1994-01-01,2,2,4,0,2,0.627587886965939
1994-01-01,2,2,6,1,3,0.8076366098493307
1994-01-01,2,2,3,1,1,0.2646329598578736
1994-01-01,2,2,4,1,1,0.613683438152608
1994-01-01,2,2,3,1,2,0.5756584895795208
1994-01-01,2,2,7,0,1,0.6531021354993245
1994-01-01,2,2,4,1,1,0.3892653620270058
1994-01-01,2,2,5,1,2,0.4251829133624372
1994-01-01,2,2,5,1,1,0.575094765502472
1994-01-01,2,2,5,0,1,0.2555836542460385
1994-01-01,2,2,4,0,2,0.1829904654681091
1994-01-01,2,2,3,1,1,0.3688269610245978
1994-01-01,2,2,5,1,2,0.0618134120685398
1994-01-01,2,2,3,1,2,0.7738835899009895
1994-01-01,2,2,3,0,1,0.8505696919214999
1994-01-01,2,2,3,1,2,0.5700215436342001
1994-01-01,2,2,2,0,1,0.967019080045663
1994-01-01,2,2,3,0,2,0.920607816513916
1994-01-01,2,2,6,0,2,0.0463307992902097
1994-01-01,2,2,4,0,2,0.3144614793715153
1994-01-01,2,2,5,1,1,0.4452101175293496
1994-01-01,2,2,4,1,2,0.1163961810711085
1994-01-01,2,2,3,0,2,0.2256844996006982
1994-01-01,2,2,5,1,2,0.1435688601606515
1994-01-01,2,2,6,1,2,0.8150685924329972
1994-01-01,2,2,7,1,1,0.8841207013637135
1994-01-01,2,2,4,1,2,0.0305477418239723
1994-01-01,2,2,4,0,1,0.7745922349066683
1994-01-01,2,2,6,1,3,0.625326489570835
1994-01-01,2,2,4,0,2,0.8844745272131983
1994-01-01,2,2,6,0,1,0.6247425819757875
1994-01-01,2,2,5,1,1,0.3732680789714949
1994-01-01,2,2,4,1,1,0.3835445307769911
1994-01-01,2,2,3,1,2,0.9537164957957556
1994-01-01,2,2,3,1,1,0.5698569111040355
1994-01-01,2,2,6,1,1,0.6407950759884288
1994-01-01,2,2,3,0,1,0.0559228936967604
1994-01-01,2,2,3,0,1,0.6490943194046168
1994-01-01,2,2,4,0,1,0.2818979450166723
1994-01-01,2,2,2,1,1,0.4380409063461773
1994-01-01,2,2,2,1,1,0.1850856404742548
1994-01-01,2,2,3,1,2,0.3489788329945987
1994-01-01,2,2,3,1,1,0.030169598642578
1994-01-01,2,2,2,0,2,0.9632720852700064
1994-01-01,2,2,2,0,1,0.6948480526526412
1994-01-01,2,2,4,1,1,0.6614169185629759
1994-01-01,2,2,4,1,2,0.1435398779869136
1994-01-01,2,2,6,0,2,0.4800777955005453
1994-01-01,2,2,5,1,2,0.9242945234594184
1994-01-01,2,2,7,1,1,0.0205682494627999
1994-01-01,2,2,4,1,1,0.3235360814091181
1994-01-01,2,2,3,1,1,0.3208528725668916
1994-01-01,2,2,5,0,2,0.7408956969828804
1994-01-01,2,2,4,0,1,0.4304278147979283
1994-01-01,2,2,3,1,1,0.1030771849862874
1994-01-01,2,2,3,0,1,0.8255323585795784
1994-01-01,2,2,2,0,2,0.1577482035079186
1994-01-01,2,2,6,1,1,0.2008070134509232
1994-01-01,2,2,2,1,2,0.6166717156916388
1994-01-01,2,2,5,1,2,0.5325844494961891
1994-01-01,2,2,4,1,1,0.7581940855774658
1994-01-01,2,2,3,0,1,0.7612117578445261
1994-01-01,2,2,3,1,2,0.8511343074823108
1994-01-01,2,2,4,0,2,0.8962981318186407
1994-01-01,2,2,4,1,2,0.3543777356377494
1994-01-01,2,2,4,0,1,0.9885485151613588
1994-01-01,2,2,2,1,1,0.7111659726131239
1994-01-01,2,2,4,1,2,0.1063940288397257
1994-01-01,2,2,3,1,1,0.3542839941446618
1994-01-01,2,2,4,0,2,0.6363897502081619
1994-01-01,2,2,4,1,2,0.5550191810763122
1994-01-01,2,2,4,1,1,0.8525632047729379
1994-01-01,2,2,5,0,2,0.8170734930556847
1994-01-01,2,2,4,0,1,0.9824735605040992
1994-01-01,2,2,4,1,1,0.2634505063407444
1994-01-01,2,2,4,0,1,0.0397669679933379
1994-01-01,2,2,2,0,1,0.5737436840846855
1994-01-01,2,2,3,1,1,0.3317856096863095
1994-01-01,2,2,3,1,1,0.6805296765189566
1994-01-01,2,2,3,1,2,0.0089066541814968
1994-01-01,2,2,6,1,3,0.8381345208579565
1994-01-01,2,2,3,1,1,0.7972161806684481
1994-01-01,2,2,2,1,2,0.0743132201716443
1994-01-01,2,2,2,1,2,0.1424257591774739
1994-01-01,2,2,3,1,2,0.2744142914566035
1994-01-01,2,2,5,1,1,0.253692446950943
1994-01-01,2,2,3,1,1,0.8045877364805191
1994-01-01,2,2,3,0,1,0.4583063730773474
1994-01-01,2,2,2,1,2,0.8706202299988742
1994-01-01,2,2,4,1,1,0.6405830656022427
1994-01-01,2,2,6,1,2,0.682701340356149
1994-01-01,2,2,2,1,1,0.3746877224161591
1994-01-01,2,2,3,0,2,0.6473065465457707
1994-01-01,2,2,2,1,1,0.541099469805257
1994-01-01,2,2,3,0,1,0.057250706866418
1994-01-01,2,2,6,0,3,0.7416587651375321
1994-01-01,2,2,3,1,1,0.1808639591256024
1994-01-01,2,2,3,0,2,0.0708078883648304
1994-01-01,2,2,3,0,2,0.6764941681838439
1994-01-01,2,2,7,1,1,0.5286112350561835
1994-01-01,2,2,4,0,2,0.716319184059113
1994-01-01,2,2,3,0,2,0.1845862278532551
1994-01-01,2,2,2,1,1,0.4322824385850339
1994-01-01,2,2,4,0,2,0.3737893307955275
1994-01-01,2,2,3,0,1,0.7489028697568931
1994-01-01,2,2,4,1,3,0.3396402633946792
1994-01-01,2,2,3,0,1,0.3571564357852358
1994-01-01,2,2,2,1,1,0.4024834439330157
1994-01-01,2,2,3,1,2,0.8935342582108712
1994-01-01,2,2,4,0,2,0.9533875858796091
1994-01-01,2,2,2,1,2,0.1471448861564613
1994-01-01,2,2,3,0,1,0.2206136377607266
1994-01-01,2,2,7,1,1,0.7008475517248542
1994-01-01,2,2,3,0,2,0.898766139557887
1994-01-01,2,2,4,1,1,0.8198593470931108
1994-01-01,2,2,2,0,1,0.6203544007954129
1994-01-01,2,2,2,0,1,0.7202984204481652
1994-01-01,2,2,2,1,1,0.3480177456819442
1994-01-01,2,2,3,0,2,0.5908324628908193
1994-01-01,2,2,3,1,2,0.4417424349746955
1994-01-01,2,2,6,0,2,0.1013707424396858
1994-01-01,2,2,4,1,1,0.7119016821091801
1994-01-01,2,2,6,0,2,0.7456248171421569
1994-01-01,2,2,4,0,1,0.7248200935167323
1994-01-01,2,2,7,0,2,0.5106287654019552
1994-01-01,2,2,4,1,1,0.011387889696674
1994-01-01,2,2,4,0,1,0.4743172966960741
1994-01-01,2,2,6,0,2,0.1549116767240914
1994-01-01,2,2,3,0,2,0.5992138720733449
1994-01-01,2,2,6,0,1,0.9845899465972612
1994-01-01,2,2,4,1,1,0.5977089630022234
1994-01-01,2,2,4,1,1,0.9519210033316408
1994-01-01,2,2,5,1,3,0.7236581536642934
1994-01-01,2,2,3,1,2,0.6985603687565648
1994-01-01,2,2,2,0,1,0.9045019092004356
1994-01-01,2,2,5,0,2,0.2592825519279202
1994-01-01,2,2,5,1,1,0.006149434382568
1994-01-01,2,2,4,1,1,0.8810835739678347
1994-01-01,2,2,2,1,1,0.0968903515824758
1994-01-01,2,2,3,0,1,0.2577719600260407
1994-01-01,2,2,5,0,2,0.448373627351383
1994-01-01,2,2,5,1,1,0.8703118388778784
1994-01-01,2,2,7,0,2,0.5310561708186059
1994-01-01,2,2,7,1,2,0.9998953050841136
1994-01-01,2,2,4,1,2,0.1095087692617765
1994-01-01,2,2,3,1,1,0.8394928118431286
1994-01-01,2,2,2,1,1,0.9074154556757938
1994-01-01,2,2,3,1,2,0.1915492041919411
1994-01-01,2,2,4,1,1,0.211696336062409
1994-01-01,2,2,5,0,1,0.4441018370038121
1994-01-01,2,2,3,0,1,0.948767613891152
1994-01-01,2,2,4,0,1,0.2726750967560759
1994-01-01,2,2,3,1,1,0.6902482216227825
1994-01-01,2,2,5,0,2,0.763619602720305
1994-01-01,2,2,3,0,2,0.4442445840980572
1994-01-01,2,2,3,0,2,0.1010218410174985
1994-01-01,2,2,3,0,1,0.5511418876266506
1994-01-01,2,2,6,0,2,0.1087787638811694
1994-01-01,2,2,2,1,1,0.0295205916765544
1994-01-01,2,2,3,0,1,0.782669878638403
1994-01-01,2,2,4,1,2,0.8753373500046564
1994-01-01,2,2,3,1,1,0.9202781584875568
1994-01-01,2,2,5,1,2,0.7816151412783308
1994-01-01,2,2,3,0,1,0.3482016811951797
1994-01-01,2,2,6,0,2,0.9183830291310418
1994-01-01,2,2,2,1,1,0.4198351486448646
1994-01-01,2,2,3,1,1,0.2021773429695745
1994-01-01,2,2,3,0,1,0.5327101057041375
1994-01-01,2,2,3,1,1,0.101647460479979
1994-01-01,2,2,4,1,2,0.1204427441512842
1994-01-01,2,2,7,0,2,0.909738184055902
1994-01-01,2,2,6,1,1,0.5101539971706365
1994-01-01,2,2,3,0,1,0.5245976535867829
1994-01-01,2,2,4,0,1,0.315028737676397
1994-01-01,2,2,4,0,2,0.8263858392108085
1994-01-01,2,2,3,1,1,0.9344929493014392
1994-01-01,2,2,2,1,1,0.7647972163612292
1994-01-01,2,2,6,1,2,0.4384585390603553
1994-01-01,2,2,3,1,1,0.0399111088721094
1994-01-01,2,2,5,1,1,0.7374598268345776
1994-01-01,2,2,5,1,1,0.7866608597930576
1994-01-01,2,2,2,0,2,0.3155266760244881
1994-01-01,2,2,4,1,1,0.2817140650099556
1994-01-01,2,2,4,0,1,0.8523059677956675
1994-01-01,2,2,3,0,1,0.0944955414703699
1994-01-01,2,2,4,0,2,0.9585072982148014
1994-01-01,2,2,4,0,2,0.6131062366906999
1994-01-01,2,2,3,0,1,0.440175735091823
